duration,src_bytes,dst_bytes,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,num_failed_logins,logged_in,num_compromised,root_shell,num_file_creations,wrong_fragment,label
41.09,6439.0,25326.0,27.0,23.0,0.46070302332313173,0.5170671031461723,0.3931024281541334,0.48244074641949736,90.0,7.0,0.2925145420885713,0.8001552481869988,0.7122586919406724,4.0,1,3.0,0,1.0,2.0,1
76.18,4870.0,3735.0,10.0,5.0,0.38104045596694713,0.773208443185341,0.46710098553932483,0.7051612751404882,116.0,39.0,0.710065476707316,0.4325407534841851,0.6554557853366714,3.0,1,0.0,1,1.0,3.0,0
19.82,25397.0,18119.0,50.0,17.0,0.48644035435975075,0.1339903243821056,0.5398786539575473,0.6493576422332439,58.0,21.0,0.7465800914730688,0.4380870513183234,0.6605164692017363,5.0,1,3.0,0,3.0,1.0,0
0.88,21554.0,10867.0,82.0,22.0,0.3858711964131481,0.29528213162366024,0.7010250910466157,0.3388544368544753,41.0,14.0,0.6722574897797589,0.382856417446967,0.6891485387508993,4.0,1,0.0,0,2.0,0.0,0
44.48,15862.0,21288.0,53.0,48.0,0.6119872235502265,0.44958844434175316,0.5047466984825654,0.5012350834458171,6.0,78.0,0.19017392883596201,0.5142710100101916,0.685482339342371,5.0,0,1.0,0,4.0,3.0,1
5.13,7416.0,14948.0,6.0,87.0,0.5380825909086182,0.5698824516771105,0.5376891153101102,0.33711905050904306,97.0,132.0,0.4244575234757095,0.29244809331335886,0.6586586727908555,5.0,0,1.0,0,4.0,2.0,1
57.36,9389.0,5122.0,28.0,9.0,0.49968341014926015,0.5004406616601105,0.551615851636452,0.5382842678737444,14.0,52.0,0.38896976500155994,0.5268118825841572,0.41949137247980733,4.0,0,2.0,0,0.0,1.0,1
21.64,10148.0,23554.0,28.0,63.0,0.5368188814747549,0.7764950282809046,0.5047930029496376,0.7094346232246171,53.0,10.0,0.3895152756479342,0.3316357499885945,0.7378604241999782,5.0,0,0.0,1,3.0,3.0,0
51.94,1319.0,21786.0,84.0,66.0,0.4755260617831016,0.5816560706988583,0.6509376038926574,0.17337362358415914,11.0,24.0,0.23931725197972814,0.3515936934919534,0.8081803411895668,5.0,0,1.0,1,4.0,0.0,0
8.61,9813.0,6188.0,28.0,75.0,0.2919739415489296,0.40190435631676524,0.5922159784435683,0.37058126077925835,10.0,69.0,0.546169260140149,0.7512700819770185,0.35261806147321517,5.0,0,3.0,0,2.0,1.0,0
26.52,4074.0,15451.0,12.0,45.0,0.3249875008147867,0.2682353826397177,0.4846744811795724,0.4609442706180743,35.0,67.0,0.5801595591510526,0.5788627226854205,0.5735213587676914,5.0,0,3.0,0,0.0,1.0,0
39.6,13830.0,24449.0,80.0,29.0,0.5613088586761714,0.4666227407763372,0.7368447212069409,0.7305155498372456,37.0,12.0,0.19534181492352024,0.35828456217821714,0.5453319296675125,5.0,0,1.0,0,0.0,2.0,1
24.61,35845.0,15828.0,105.0,66.0,0.3373738420624966,0.9428303077653529,0.28744642950558125,0.5263165584994676,4.0,105.0,0.5164956853291974,0.5490082970943873,0.45985054960702915,3.0,1,3.0,0,3.0,2.0,1
27.37,11896.0,6794.0,93.0,72.0,0.6788619354484221,0.8176959173547794,0.38508551248205924,0.39917503727119014,53.0,81.0,0.5644109291651738,0.3199436767840819,0.5820294621959031,1.0,1,0.0,0,4.0,3.0,0
31.21,21322.0,11302.0,51.0,45.0,0.4961981809673755,0.3343907136794145,0.8076340754858142,0.48008474092853165,106.0,7.0,0.22918641836457643,0.6059567419315925,0.4107820949778365,5.0,1,0.0,0,4.0,1.0,1
114.74,15228.0,6605.0,45.0,37.0,0.4163049433617508,0.40608896675012474,0.6142762934475683,0.25979451074996684,19.0,22.0,0.6459079784068871,0.5055017040206549,0.5497552704727691,4.0,1,1.0,0,2.0,1.0,0
3.42,2137.0,4576.0,22.0,44.0,0.20731294056422894,0.5268715098852708,0.4818430842107127,0.31684776579653157,95.0,70.0,0.5216050413287673,0.7246512201185236,0.5499246589229086,5.0,1,3.0,1,0.0,3.0,0
64.74,7240.0,12474.0,91.0,23.0,0.5538597830313419,0.3136333766127142,0.72226056025121,0.6551078352985299,53.0,28.0,0.4053070516228084,0.1740715018229719,0.6257440543322429,5.0,0,2.0,1,4.0,3.0,0
33.01,5759.0,2465.0,11.0,18.0,0.29810554775540415,0.4406209798303324,0.577698704821566,0.6243860898123833,91.0,11.0,0.5222894295688499,0.5293677720038252,0.5609766949145336,5.0,1,3.0,0,2.0,3.0,0
6.49,1838.0,16623.0,26.0,55.0,0.6242768047652795,0.6693453673897536,0.3992128274160886,0.48646131394872155,142.0,20.0,0.5839549397324603,0.3117648037567078,0.343364799638513,5.0,0,2.0,0,0.0,0.0,1
13.96,1543.0,17454.0,22.0,10.0,0.28912636042010254,0.2739232668527386,0.6595465640581184,0.3036015564391824,25.0,51.0,0.6278054722424286,0.5380143241905448,0.6073328340165494,3.0,0,0.0,0,2.0,3.0,0
23.94,22779.0,11128.0,42.0,17.0,0.7366685644519618,0.6311068315751929,0.13494751053227694,0.40758639579687506,63.0,16.0,0.59735034313637,0.5863471462889371,0.41463182652811514,5.0,1,3.0,0,2.0,1.0,1
